#  Fit of EGSM a-parameter to experimental Do
#  Clasic vibr enhan., RIPL-3 Do & Shell corr.
#  Z  A  Sym  J   Qn         Dobs          dDobs        Shell         Def          Dcalc        +da_exp  a_exp -da_exp  a_sys    a_exp/a_sys
#------------------------------------------------------------------------------------------------------------------------------------------
  11  24 Na  1.5  6.960    .10000E+03    .20000E+02    .54700E+00    .32800E+00    .10001E+03     .1027  1.9297   .0819   1.879   1.027
  12  25 Mg   .0  7.331    .48000E+03    .70000E+02   -.85000E-01    .33300E+00    .48004E+03     .0800  2.0126   .0678   1.855   1.085
  12  26 Mg  2.5 11.094    .50000E+02    .10000E+02    .67100E+00   -.31000E+00    .50004E+02     .1232  2.3746   .0982   2.061   1.152
  12  27 Mg   .0  6.446    .21000E+03    .80000E+02    .66700E+00    .00000E+00    .21001E+03     .3085  2.7303   .1990   2.161   1.264
  13  28 Al  2.5  7.725    .55000E+02    .60000E+01   -.77100E+00   -.25400E+00    .55005E+02     .0539  2.0638   .0476   1.966   1.050
  14  29 Si   .0  8.474    .33200E+03    .35000E+02   -.24670E+01   -.30000E+00    .33202E+03     .0513  1.9979   .0455   1.711   1.168
  14  30 Si   .5 10.609    .19300E+03    .22000E+02   -.93000E+00    .00000E+00    .19301E+03     .0579  2.0320   .0509   2.061    .986
  14  31 Si   .0  6.587    .22500E+03    .30000E+02   -.38600E+00    .00000E+00    .22501E+03     .0884  2.6926   .0761   2.229   1.208
  15  32 P    .5  7.937    .50000E+02    .12000E+02   -.15200E+01    .00000E+00    .50004E+02     .1325  2.4342   .1014   2.109   1.154
  16  33 S    .0  8.642    .19000E+03    .60000E+02   -.11680E+01    .00000E+00    .19001E+03     .1957  2.3663   .1366   2.221   1.066
  16  34 S   1.5 11.417    .21000E+02    .10000E+02   -.18800E+00    .00000E+00    .21001E+02     .3653  2.8160   .2092   2.504   1.125
  16  35 S    .0  6.986    .11000E+03    .40000E+02    .53400E+00    .00000E+00    .11001E+03     .3017  3.1817   .2003   2.756   1.155
  17  36 Cl  1.5  8.580    .23000E+02    .60000E+01   -.48400E+00    .00000E+00    .23001E+02     .1500  2.5489   .1121   2.594    .983
  17  38 Cl  1.5  6.108    .15000E+02    .40000E+01    .19140E+01   -.18000E-01    .15001E+02     .2098  3.5290   .1565   3.345   1.055
  18  41 Ar   .0  6.100    .52000E+02    .47000E+01    .40960E+01    .00000E+00    .52005E+02     .0730  4.3520   .0661   4.410    .987
  19  40 K   1.5  7.800    .13000E+02    .30000E+01    .12730E+01   -.35000E-01    .13001E+02     .1540  3.1537   .1192   3.305    .954
  19  42 K   1.5  7.534    .10000E+02    .30000E+01    .32240E+01    .00000E+00    .10001E+02     .2280  3.5152   .1635   4.004    .878
  20  41 Ca   .0  8.363    .45000E+02    .40000E+01    .10270E+01    .00000E+00    .45002E+02     .0598  3.5045   .0543   3.347   1.047
  20  43 Ca   .0  7.933    .20000E+02    .50000E+01    .30350E+01    .00000E+00    .20001E+02     .2071  4.3561   .1586   4.124   1.056
  20  44 Ca  3.5 11.131    .18000E+01    .30000E+00    .31340E+01    .00000E+00    .18000E+01     .1342  4.5982   .1124   4.168   1.103
  20  45 Ca   .0  7.415    .24100E+02    .32000E+01    .29300E+01    .00000E+00    .24101E+02     .1039  4.4394   .0903   4.307   1.031
  21  46 Sc  3.5  8.761    .13000E+01    .10000E+00    .24170E+01   -.80000E-02    .13001E+01     .0540  4.3235   .0497   4.091   1.057
  22  47 Ti   .0  8.880    .25000E+02    .40000E+01    .17320E+01    .00000E+00    .25002E+02     .1152  3.8696   .0969   4.036    .959
  22  48 Ti  2.5 11.627    .17500E+01    .25000E+00    .16040E+01    .00000E+00    .17501E+01     .1043  4.3283   .0894   4.053   1.068
  22  49 Ti   .0  8.142    .20800E+02    .25000E+01    .11220E+01    .00000E+00    .20801E+02     .0891  4.2343   .0785   4.029   1.051
  22  50 Ti  3.5 10.939    .40000E+01    .80000E+00    .35800E+00    .00000E+00    .40001E+01     .1504  3.8991   .1211   3.850   1.013
  22  51 Ti   .0  6.372    .24900E+02    .16000E+01    .45200E+00    .00000E+00    .24901E+02     .0499  4.7245   .0465   3.984   1.186
  23  51 V   6.0 11.051    .20000E+01    .10000E+00    .21200E+00    .00000E+00    .20002E+01     .0337  3.9523   .0318   3.875   1.020
  23  52 V   3.5  7.311    .40000E+01    .60000E+00    .18300E+00    .00000E+00    .40003E+01     .1113  3.9881   .0947   3.949   1.010
  24  51 Cr   .0  9.261    .12500E+02    .12000E+01   -.11800E+00    .10700E+00    .12501E+02     .0665  4.1650   .0599   3.779   1.102
  24  53 Cr   .0  7.939    .32000E+02    .35000E+01   -.29900E+00    .00000E+00    .32002E+02     .0787  3.9774   .0701   3.862   1.030
  24  54 Cr  1.5  9.719    .67000E+01    .60000E+00    .46600E+00    .18000E+00    .67002E+01     .0655  4.2166   .0595   4.204   1.003
