# Level density parameters for EGSM & Gilbert and Cameron models (2I4,1x,a2,1x,f3.1,1x,F7.3,3E14.5,5f8.4)
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da    a-EGSM    -da   a_sys   a-G&C 
#                [MeV]    [keV]         [keV]         [MeV]         [1/MeV] [1/MeV] [1/MeV]
#--------------------------------------------------------------------------------------------------------
  11  24 Na 1.0   6.960    .10000E+03    .20000E+02    .54700E+00   .1017  1.8798   .0805  1.8800  3.4900
  12  25 Mg  .0   7.331    .48000E+03    .70000E+02   -.85000E-01   .0793  1.9737   .0659  2.0900  3.6700
  12  26 Mg 2.0  11.092    .50000E+02    .10000E+02    .67100E+00   .1187  2.2249   .0941  2.3260  4.1600
  12  27 Mg  .0   6.444    .21000E+03    .80000E+02    .66700E+00   .3028  2.6766   .1945  2.4390   .0000
  13  28 Al 2.0   7.725    .55000E+02    .60000E+01   -.77100E+00   .0524  1.9657   .0457  1.9660  3.8300
  14  29 Si  .0   8.473    .33200E+03    .35000E+02   -.24670E+01   .0506  1.9713   .0443  1.8870  4.0900
  14  30 Si  .0  10.609    .19300E+03    .22000E+02   -.93000E+00   .0583  2.0115   .0501  2.2770   .0000
  14  31 Si  .0   6.587    .22500E+03    .30000E+02   -.38600E+00   .0871  2.6510   .0744  2.4650   .0000
  15  32 P   .0   7.935    .50000E+02    .12000E+02   -.15200E+01   .1320  2.4175   .1004  2.4140  3.9900
  16  33 S   .0   8.641    .19000E+03    .60000E+02   -.11680E+01   .1938  2.3406   .1344  2.4410  4.4200
  16  34 S  1.0  11.417    .21000E+02    .10000E+02   -.18800E+00   .3624  2.7746   .2070  2.7560  4.5700
  16  35 S   .0   6.985    .11000E+03    .40000E+02    .53400E+00   .2985  3.1435   .1973  3.0370  5.0400
  17  36 Cl 1.0   8.579    .23000E+02    .60000E+01   -.48400E+00   .1489  2.5185   .1109  2.6050  4.8200
  17  38 Cl 1.0   6.107    .15000E+02    .40000E+01    .19140E+01   .2074  3.4760   .1542  3.3650  5.7000
  18  41 Ar  .0   6.098    .52000E+02    .47000E+01    .40960E+01   .0723  4.3087   .0651  4.3030  6.7100
  19  40 K  1.0   7.799    .13000E+02    .30000E+01    .12730E+01   .1520  3.1198   .1180  2.9920  6.2000
  19  42 K  1.0   7.533    .10000E+02    .30000E+01    .32240E+01   .2263  3.4793   .1618  3.6220  6.3400
  20  41 Ca  .0   8.362    .45000E+02    .40000E+01    .10270E+01   .0595  3.4772   .0533  3.4960  5.8500
  20  43 Ca  .0   7.932    .20000E+02    .50000E+01    .30350E+01   .2055  4.3250   .1571  4.3160  6.6300
  20  44 Ca 3.0  11.132    .18000E+01    .30000E+00    .31340E+01   .1299  4.4554   .1078  4.3610  6.8100
  20  45 Ca  .0   7.415    .24100E+02    .32000E+01    .29300E+01   .1032  4.4079   .0886  4.5080  6.9200
  21  46 Sc 3.0   8.761    .13000E+01    .10000E+00    .24170E+01   .0531  4.2258   .0486  4.2280  6.8600
  22  47 Ti  .0   8.878    .25000E+02    .40000E+01    .17320E+01   .1150  3.8479   .0959  4.2160  6.6300
  22  48 Ti 2.0  11.626    .17500E+01    .25000E+00    .16040E+01   .1031  4.2688   .0879  4.2320  6.8600
  22  49 Ti  .0   8.142    .20800E+02    .25000E+01    .11220E+01   .0888  4.2096   .0771  4.2070  7.0300
  22  50 Ti 3.0  10.939    .40000E+01    .80000E+00    .35800E+00   .1481  3.8036   .1181  4.0170  6.6200
  22  51 Ti  .0   6.372    .24900E+02    .16000E+01    .45200E+00   .0503  4.6946   .0459  4.1570  7.2100
  23  51 V  6.0  11.050    .20000E+01    .10000E+00    .21200E+00   .0328  3.6983   .0299  3.7580  7.0100
  23  52 V  3.0   7.311    .40000E+01    .60000E+00    .18300E+00   .1089  3.8915   .0922  3.8300  6.8400
  24  51 Cr  .0   9.262    .12500E+02    .12000E+01   -.11800E+00   .0668  4.1446   .0592  3.8430  6.6500
  24  53 Cr  .0   7.939    .32000E+02    .35000E+01   -.29900E+00   .0784  3.9564   .0695  3.9270  6.9600
  24  54 Cr 1.0   9.718    .67000E+01    .60000E+00    .46600E+00   .0656  4.1874   .0583  4.2770  7.1900
  24  55 Cr  .0   6.246    .50000E+02    .80000E+01    .11410E+01   .1280  4.3548   .1068  4.6580  7.6700
  25  56 Mn 2.0   7.271    .23000E+01    .40000E+00    .10900E+00   .1325  4.4578   .1095  4.4580  7.4200
