#                     Fission barriers calculated with the ETFSI model 
#  Z   A El      cin      hin      ain      Bin     Bexp      cout     hout     aout     Bout    Bexp
#                                          [MeV]    [MeV]                               [MeV]    [MeV]
#-----------------------------------------------------------------------------------------------------
  78 223 Pt      1.35    -0.03     0.00     5.30              1.99     0.00     0.55    30.50         
  78 224 Pt      1.35    -0.04     0.00     5.50              1.99     0.00     0.53    31.00         
  78 225 Pt      1.34    -0.02     0.00     5.70              1.98    -0.01     0.53    30.50         
  78 226 Pt      1.35    -0.07     0.00     6.00              1.98    -0.01     0.53    30.70         
  78 227 Pt      1.35    -0.05     0.00     6.60              1.98     0.00     0.55    30.90         
  78 228 Pt      1.35    -0.05     0.00     6.10              2.05    -0.02     0.53    32.30         
  78 229 Pt      1.36    -0.05     0.00     6.60              2.06    -0.01     0.50    33.00         
  78 230 Pt      1.36    -0.05     0.00     6.30              2.06    -0.02     0.50    33.70         
  78 231 Pt                                                   2.10    -0.05     0.50    34.20         
  78 232 Pt                                                   2.11    -0.05     0.50    34.60         
  78 233 Pt                                                   2.11    -0.05     0.50    34.90         
  78 234 Pt                                                   2.12    -0.05     0.47    35.80         
  78 246 Pt      1.20    -0.01     0.00     5.20              2.13    -0.08     0.45    37.70         
  78 258 Pt      1.18     0.08     0.00    14.50              1.91     0.08     0.00    44.20         
  79 223 Au      1.26     0.02     0.00     4.20              1.99    -0.01     0.53    28.80         
  79 224 Au      1.26     0.03     0.00     4.40              1.99     0.00     0.55    28.20         
  79 225 Au      1.34    -0.01     0.00     4.30              1.99     0.00     0.53    28.70         
  79 226 Au      1.34     0.00     0.00     4.70              1.98    -0.01     0.53    28.30         
  79 227 Au      1.34    -0.02     0.00     5.10              1.98    -0.01     0.53    28.60         
  79 228 Au      1.34     0.00     0.00     4.90              1.98     0.00     0.55    28.30         
  79 229 Au      1.35    -0.06     0.00     5.30              2.05    -0.02     0.50    30.20         
  79 230 Au      1.35    -0.07     0.00     5.70              2.06    -0.01     0.53    30.80         
  79 231 Au      1.35    -0.05     0.00     5.60              2.09    -0.06     0.50    31.70         
  79 232 Au                                                   2.10    -0.06     0.47    32.40         
  79 233 Au                                                   2.11    -0.05     0.50    32.50         
  79 234 Au                                                   2.11    -0.06     0.47    33.00         
  79 235 Au                                                   2.12    -0.05     0.47    33.50         
  79 236 Au      1.36    -0.20     0.00     5.20              2.12    -0.05     0.45    33.80         
  79 246 Au      1.20     0.00     0.00     4.80              2.18    -0.10     0.47    36.00         
  79 247 Au      1.21    -0.01     0.00     5.70              1.85     0.10     0.00    37.00         
  79 248 Au      1.20     0.00     0.00     6.20              1.80     0.16     0.00    36.00         
  79 258 Au      1.18     0.08     0.00    14.50              1.91     0.09     0.00    41.60         
  79 259 Au      1.18     0.07     0.00    15.30              1.91     0.08     0.00    43.20         
  79 260 Au      1.17     0.08     0.00    16.80              1.91     0.08     0.00    44.30         
  80 198 Hg      1.17     0.14     0.00    10.10              2.14    -0.08     0.00    27.10    20.40
  80 223 Hg      1.26     0.02     0.00     4.30              1.92     0.07     0.60    25.80         
  80 224 Hg      1.25     0.02     0.00     4.10              1.99    -0.01     0.53    27.10         
  80 225 Hg      1.26     0.03     0.00     4.50              1.98    -0.01     0.50    26.80         
  80 226 Hg      1.26     0.02     0.00     4.40              1.99     0.00     0.55    26.90         
  80 227 Hg      1.27     0.02     0.00     5.00              1.98    -0.01     0.53    26.60         
  80 228 Hg      1.36     0.05     0.00     3.90              1.98    -0.01     0.53    26.80         
  80 229 Hg      1.36     0.06     0.00     4.30              1.98     0.00     0.55    27.00         
  80 230 Hg      1.35    -0.03     0.00     4.90              2.05    -0.02     0.53    28.20         
  80 231 Hg      1.35    -0.04     0.00     5.40              2.06    -0.01     0.53    28.80         
  80 232 Hg      1.35    -0.05     0.00     5.20              2.09    -0.06     0.50    29.70         
  80 233 Hg      1.36    -0.05     0.00     5.80              2.10    -0.06     0.47    30.40         
  80 234 Hg                                                   2.11    -0.05     0.50    30.40         
  80 235 Hg                                                   2.11    -0.06     0.47    31.10         
