#
#  Z   A           Ex     J  P L       beta  Reference                       A Z
#                [MeV]
#-------------------------------------------------------------------------------
   3   7 Li   0.477612  0.5 -1 2   0.763388  ENSDF(BE2)                      7Li
   4  10 Be   3.368000  2.0  1 2   1.129799  Raman                          10Be
   6  10 C    3.352700  2.0  1 2   0.822440  Raman                          10C 
   6  12 C    4.438900  2.0  1 2   0.592260  Raman                          12C 
   6  12 C    4.438900  2.0  1 2   0.600000  JENDL-3.2                      12C 
   6  12 C    9.641000  3.0 -1 3   0.400000  JENDL-3.2                      12C 
   6  12 C    9.641001  3.0 -1 3   0.831529  Spear                          12C 
   6  14 C    6.728000  3.0 -1 3   0.405041  Spear                          14C 
   6  14 C    7.012001  2.0  1 2   0.360920  Raman                          14C 
   8  16 O    6.130000  3.0 -1 3   0.733467  Spear                          16O 
   8  16 O    6.130400  3.0 -1 3   0.640000  JENDL-3.2                      16O 
   8  16 O    6.917100  2.0  1 2   0.362176  Raman                          16O 
   8  16 O    6.917100  2.0  1 2   0.400000  JENDL-3.2                      16O 
   8  18 O    1.982200  2.0  1 2   0.355530  Raman                          18O 
   8  18 O    5.098000  3.0 -1 3   0.563367  Spear                          18O 
   8  20 O    1.673680  2.0  1 2   0.261133  Raman                          20O 
  10  18 Ne   1.887300  2.0  1 2   0.690746  Raman                          18Ne
  10  20 Ne   1.633670  2.0  1 2   0.727968  Raman                          20Ne
  10  20 Ne   5.621000  3.0 -1 3   0.568494  Spear                          20Ne
  10  22 Ne   1.274500  2.0  1 2   0.561877  Raman                          22Ne
  10  22 Ne   1.274542  2.0  1 2   0.631458  ENSDF(Q)                       22Ne
  10  22 Ne   5.910000  3.0 -1 3   0.324999  Spear                          22Ne
  10  24 Ne   1.980800  2.0  1 2   0.413666  Raman                          24Ne
  12  22 Mg   1.246000  2.0  1 2   0.552295  Raman                          22Mg
  12  24 Mg   1.368600  2.0  1 2   0.605544  Raman                          24Mg
  12  24 Mg   1.368675  2.0  1 2   0.494706  ENSDF(Q)                       24Mg
  12  24 Mg   7.616000  3.0 -1 3   0.281684  Spear                          24Mg
  12  26 Mg   1.808700  2.0  1 2   0.482369  Raman                          26Mg
  12  26 Mg   1.808720  2.0  1 2   0.387572  ENSDF(Q)                       26Mg
  12  26 Mg   6.878000  3.0 -1 3   0.212775  Spear                          26Mg
  12  28 Mg   1.472500  2.0  1 2   0.484744  Raman                          28Mg
  14  26 Si   1.795900  2.0  1 2   0.444175  Raman                          26Si
  14  28 Si   1.778800  2.0  1 2   0.470000  JENDL-3.2                      28Si
  14  28 Si   1.778900  2.0  1 2   0.406850  Raman                          28Si
  14  28 Si   4.616900  4.0  1 2   0.200000  JENDL-3.2                      28Si
  14  28 Si   6.691400  0.0  1 2   0.080000  JENDL-3.2                      28Si
  14  28 Si   6.879000  3.0 -1 3   0.397886  Spear                          28Si
  14  29 Si   1.273300  1.5  1 2   0.410000  JENDL-3.2                      29Si
  14  29 Si   2.028200  2.5  1 2   0.410000  JENDL-3.2                      29Si
  14  29 Si   4.080200  3.5  1 2   0.200000  JENDL-3.2                      29Si
  14  29 Si   4.741000  4.5  1 2   0.200000  JENDL-3.2                      29Si
  14  30 Si   2.235400  2.0  1 2   0.320000  JENDL-3.2                      30Si
  14  30 Si   2.235500  2.0  1 2   0.315551  Raman                          30Si
  14  30 Si   5.279500  4.0  1 2   0.200000  JENDL-3.2                      30Si
  14  30 Si   5.488000  3.0 -1 3   0.274985  Spear                          30Si
  14  30 Si   6.641100  0.0  1 2   0.080000  JENDL-3.2                      30Si
  14  32 Si   1.941400  2.0  1 2   0.344940  Raman                          32Si
  16  30 S    2.210700  2.0  1 2   0.336848  Raman                          30S 
  16  32 S    2.230200  2.0  1 2   0.312416  Raman                          32S 
  16  32 S    2.230300  2.0  1 2   0.283787  ENSDF(Q)                       32S 
  16  32 S    5.006000  3.0 -1 3   0.485143  Spear                          32S 
  16  34 S    2.127400  2.0  1 2   0.252225  Raman                          34S 
  16  34 S    2.127564  2.0  1 2  -0.097120  ENSDF(Q)                       34S 
  16  34 S    4.623000  3.0 -1 3   0.388466  Spear                          34S 
  16  36 S    3.291000  2.0  1 2   0.163383  Raman                          36S 
  16  44 S    1.297000  2.0  1 2   0.256834  ENSDF(BE2)                     44S 
  18  34 Ar   2.090000  2.0  1 2   0.238547  Raman                          34Ar
  18  36 Ar   1.970390  2.0  1 2   0.273312  Raman                          36Ar
  18  36 Ar   1.970390  2.0  1 2  -0.185487  ENSDF(Q)                       36Ar
  18  36 Ar   4.178000  3.0 -1 3   0.390556  Spear                          36Ar
  18  38 Ar   2.167600  2.0  1 2   0.162390  Raman                          38Ar
  18  38 Ar   3.810000  3.0 -1 3   0.345422  Spear                          38Ar
  18  40 Ar   1.460810  2.0  1 2   0.250998  Raman                          40Ar
  18  40 Ar   1.460859  2.0  1 2  -0.015290  ENSDF(Q)                       40Ar
