# Experimental deformations
#  Z   A El   beta2    Error
#                         
#---------------------------
   4  10 Be   1.1400  0.0600
   6  10 C    0.8300  0.0700
   6  12 C    0.5820  0.0240
   6  14 C    0.3600  0.0240
   8  16 O    0.3640  0.0170
   8  18 O    0.3550  0.0080
   8  20 O    0.2610  0.0090
   8  22 O    0.2080  0.0410
  10  18 Ne   0.6940  0.0340
  10  20 Ne   0.7270  0.0320
  10  22 Ne   0.5620  0.0120
  10  24 Ne   0.4500  0.0800
  10  26 Ne   0.4980  0.0450
  10  28 Ne   0.5000  0.1400
  12  22 MG   0.5800  0.1100
  12  24 MG   0.6050  0.0080
  12  26 MG   0.4820  0.0100
  12  28 MG   0.4910  0.0350
  12  30 MG   0.4310  0.0190
  12  32 MG   0.4730  0.0430
  14  26 Si   0.4460  0.0210
  14  28 Si   0.4070  0.0070
  14  30 Si   0.3150  0.0070
  14  32 Si   0.2170  0.0320
  14  34 Si   0.1790  0.0360
  14  36 Si   0.2590  0.0420
  14  38 Si   0.2490  0.0480
  16  30 S    0.3380  0.0210
  16  32 S    0.3120  0.0070
  16  34 S    0.2520  0.0070
  16  36 S    0.1680  0.0230
  16  38 S    0.2460  0.0160
  16  40 S    0.2840  0.0150
  16  42 S    0.3000  0.0230
  16  44 S    0.2540  0.0380
  18  34 Ar   0.2380  0.0200
  18  36 Ar   0.2560  0.0130
  18  38 Ar   0.1630  0.0060
  18  40 Ar   0.2510  0.0150
  18  42 Ar   0.2750  0.0320
  18  44 Ar   0.2400  0.0140
  18  46 Ar   0.1750  0.0180
  20  38 Ca   0.1250  0.0140
  20  40 Ca   0.1230  0.0110
  20  42 Ca   0.2470  0.0090
  20  44 Ca   0.2530  0.0050
  20  46 Ca   0.1530  0.0050
  20  48 Ca   0.1060  0.0180
  22  42 Ti   0.3190  0.0470
  22  44 Ti   0.2680  0.0340
  22  46 Ti   0.3170  0.0080
  22  48 Ti   0.2690  0.0070
  22  50 Ti   0.1660  0.0110
  24  48 Cr   0.3370  0.0260
  24  50 Cr   0.2930  0.0080
  24  52 Cr   0.2230  0.0050
  24  54 Cr   0.2500  0.0060
  26  54 Fe   0.1950  0.0080
  26  56 Fe   0.2392  0.0049
  26  58 Fe   0.2586  0.0043
  26  60 Fe   0.2250  0.0210
