# Normalization factors for the level density paramet er in the EGSM 
# a_exp/a_sys averaged over isotopes of an element, for which a_exp exists
#  Z   factor
#---------------------------------------------------- --------------------
   11  1.0270
   12  1.1669
   13  1.0497
   14  1.1205
   15  1.1542
   16  1.1148
   17  1.0188
   18   .9868
   19   .9161
   20  1.0593
   21  1.0568
   22  1.0553
   23  1.0149
   24  1.0231
   25  1.0652
   26  1.0470
   27  1.0438
   28  1.0350
   29  1.0313
   30  1.0006
   31   .9614
   32   .9966
   33  1.0063
   34  1.0123
   35  1.0227
   36   .9433
   37   .9169
   38   .9192
   39   .8591
   40   .8717
   41   .9577
   42   .9830
   43  1.0571
   44  1.0631
   45  1.0427
   46  1.0606
   47  1.0465
   48  1.0429
   49   .9769
   50   .9180
   51   .9844
   52  1.0210
   53  1.0223
   54  1.0417
   55   .9997
   56   .9444
   57   .8985
   58   .9707
   59   .8494
   60   .9937
   61  1.0102
   62  1.0322
   63  1.0206
   64  1.0397
   65   .9827
   66  1.0339
   67   .9527
   68  1.0169
   69   .9718
   70   .9757
   71   .9635
   72   .9984
   73   .9817
   74  1.0006
   75   .9750
   76  1.0315
   77  1.0512
   78  1.0133
   79   .9710
   80  1.0116
   81  1.0171
   82  1.0503
   83   .7869
   90  1.0929
   91  1.0143
   92  1.0606
   93   .9694
   94  1.0512
   95   .9888
   96   .9963
   97   .9743
   98   .9986
