# Level density parameters for EGSM, Gilbert & Cameron (EMPIRE) and GSM (RIPL-2) models (2I4,1x,a2,f4.1,1x,F7.3,3E14.5,5f8.4,I4,1x,5(f8.3))
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da    a-EGSM    -da   a_sys   a-G&C   Nc     om2    DelO     aas     aerr   shift 
#                [MeV]    [keV]         [keV]         [MeV]        [1/MeV] [1/MeV] [1/MeV] [1/MeV] [1/MeV]       [MeV]   [MeV]  [1/MeV]  [1/MeV] [MeV] 
#-----------------------------------------------------------------------------------------------------------------------------------------------------
  11  24 Na  1.5  6.960    .10000E+03    .20000E+02    .54700E+00   .1027  1.9297   .0819  1.8790  3.4900  30    3.606   4.160    .000    .000    .000   
  12  25 Mg   .0  7.331    .48000E+03    .70000E+02   -.85000E-01   .0800  2.0126   .0678  1.8550  3.6700  30    1.588   2.400   1.281    .149  -1.269   
  12  26 Mg  2.5 11.094    .50000E+02    .10000E+02    .67100E+00   .1232  2.3746   .0982  2.0610  4.1600  30    1.809   2.353   1.864    .246    .185   
  12  27 Mg   .0  6.446    .21000E+03    .80000E+02    .66700E+00   .3085  2.7303   .1990  2.1610   .0000  30    1.641   2.309   2.058    .288   -.517   
  13  28 Al  2.5  7.725    .55000E+02    .60000E+01   -.77100E+00   .0539  2.0638   .0476  1.9660  3.8300  30    1.626   2.268   1.958    .191  -1.168   
  14  29 Si   .0  8.474    .33200E+03    .35000E+02   -.24670E+01   .0513  1.9979   .0455  1.7110  4.0900  30    2.007   2.228   2.522    .367   -.928   
  14  30 Si   .5 10.609    .19300E+03    .22000E+02   -.93000E+00   .0579  2.0320   .0509  2.0610   .0000  30    2.235   2.191   1.101    .139    .425   
  14  31 Si   .0  6.587    .22500E+03    .30000E+02   -.38600E+00   .0884  2.6926   .0761  2.2290   .0000  30    3.040   3.820    .000    .000    .000   
  15  32 P    .5  7.937    .50000E+02    .12000E+02   -.15200E+01   .1325  2.4342   .1014  2.1090  3.9900  30    2.976   3.780    .000    .000    .000   
  16  33 S    .0  8.642    .19000E+03    .60000E+02   -.11680E+01   .1957  2.3663   .1366  2.2210  4.4200  30    2.178   2.089   2.263    .215    .070   
  16  34 S   1.5 11.417    .21000E+02    .10000E+02   -.18800E+00   .3653  2.8160   .2092  2.5040  4.5700  30    2.127   2.058   2.194    .251    .673   
  16  35 S    .0  6.986    .11000E+03    .40000E+02    .53400E+00   .3017  3.1817   .2003  2.7560  5.0400  10    2.709   2.028   3.021    .468    .557   
  17  36 Cl  1.5  8.580    .23000E+02    .60000E+01   -.48400E+00   .1500  2.5489   .1121  2.5940  4.8200  30    2.630   2.000   2.538    .221   -.132   
  17  38 Cl  1.5  6.108    .15000E+02    .40000E+01    .19140E+01   .2098  3.5290   .1565  3.3450  5.7000  30    2.730   1.947   5.435    .724   -.282   
  18  41 Ar   .0  6.100    .52000E+02    .47000E+01    .40960E+01   .0730  4.3520   .0661  4.4100  6.7100  26    1.335   1.874   3.068    .412    .344   
  19  40 K   1.5  7.800    .13000E+02    .30000E+01    .12730E+01   .1540  3.1537   .1192  3.3050  6.2000  30    2.406   1.897   2.755    .288    .344   
  19  42 K   1.5  7.534    .10000E+02    .30000E+01    .32240E+01   .2280  3.5152   .1635  4.0040  6.3400  30    1.367   1.852   2.015    .153    .206   
  20  41 Ca   .0  8.363    .45000E+02    .40000E+01    .10270E+01   .0598  3.5045   .0543  3.3470  5.8500  30    2.438   1.874   3.929    .172    .947   
  20  43 Ca   .0  7.933    .20000E+02    .50000E+01    .30350E+01   .2071  4.3561   .1586  4.1240  6.6300  30    1.341   1.830   2.998    .224    .929   
