#           Level density parameters for the EGSM model
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da      a       -da   
#                [MeV]    [keV]         [keV]         [MeV]         [1/MeV] [1/MeV] [1/MeV]
#-----------------------------------------------------------------------------------------------------
   9  20 F   0.5  6.601   0.16000E+03   0.40000E+02   0.14940E+01  0.1275  1.8497  0.0955
  11  24 Na  1.5  6.960   0.95000E+02   0.30000E+02   0.54700E+00  0.1731  1.8766  0.1198
  12  25 Mg  0.0  7.331   0.47000E+03   0.14000E+03  -0.85000E-01  0.1775  1.9644  0.1253
  12  26 Mg  2.5 11.092   0.43000E+02   0.17000E+02   0.67100E+00  0.2830  2.3609  0.1782
  12  27 Mg  0.0  6.444   0.26000E+03   0.50000E+02   0.66700E+00  0.1297  2.5407  0.1025
  13  28 Al  2.5  7.725   0.45000E+02   0.15000E+02  -0.77100E+00  0.1939  2.0857  0.1318
  14  29 Si  0.0  8.473   0.20000E+03   0.60000E+02  -0.24670E+01  0.1741  2.2102  0.1226
  14  30 Si  0.5 10.609   0.35000E+03   0.16000E+03  -0.93000E+00  0.2789  1.7373  0.1605
  15  32 P   0.5  7.935   0.75000E+02   0.20000E+02  -0.15200E+01  0.1433  2.2259  0.1058
  16  33 S   0.0  8.641   0.15000E+03   0.35000E+02  -0.11680E+01  0.1378  2.4564  0.1054
  16  34 S   1.5 11.417   0.27000E+02   0.10000E+02  -0.18800E+00  0.2502  2.6353  0.1635
  16  35 S   0.0  6.985   0.20000E+03   0.70000E+02   0.53400E+00  0.2686  2.7609  0.1799
  17  36 Cl  1.5  8.579   0.23000E+02   0.60000E+01  -0.48400E+00  0.1489  2.5148  0.1107
  17  38 Cl  1.5  6.107   0.15000E+02   0.40000E+01   0.19140E+01  0.2071  3.4728  0.1540
  18  41 Ar  0.0  6.098   0.70200E+02   0.17000E+02   0.40960E+01  0.2084  4.0752  0.1592
  19  40 K   1.5  7.799   0.15000E+02   0.50000E+01   0.12730E+01  0.2342  3.0377  0.1608
  19  42 K   1.5  7.533   0.15000E+02   0.50000E+01   0.32240E+01  0.2496  3.2236  0.1702
  20  41 Ca  0.0  8.362   0.32600E+02   0.43000E+01   0.10270E+01  0.0925  3.6779  0.0795
  20  43 Ca  0.0  7.932   0.20000E+02   0.50000E+01   0.30350E+01  0.2063  4.3162  0.1569
  20  44 Ca  3.5 11.132   0.18000E+01   0.30000E+00   0.31340E+01  0.1276  4.3349  0.1056
