# Normalization factors for the level density paramet er in the EGSM model
# a_exp/a_sys averaged over isotopes of an element, for which a_exp exists
#  Z   factor
#---------------------------------------------------- --------------------
    9  1.1105
   11  1.0138
   12  1.1431
   13  1.0768
   14  1.0845
   15  1.0712
   16  1.0679
   17  1.0163
   18  0.9315
   19  0.8714
   20  1.0622
   21  1.0195
   22  0.9922
   23  0.9409
   24  0.9882
   25  1.0418
   26  1.0471
   27  1.0343
   28  1.0454
   29  1.0060
   30  0.9885
   31  0.9591
   32  1.0021
   33  1.0303
   34  1.0127
   35  1.0090
   36  1.0195
   37  0.9045
   38  0.9159
   39  0.8618
   40  0.8823
   41  0.9494
   42  0.9635
   43  1.0390
   44  1.0278
   45  1.0326
   46  1.0641
   47  1.0635
   48  1.0592
   49  0.9403
   50  0.9364
   51  0.9771
   52  1.0576
   53  1.0392
   54  1.0542
   55  0.9941
   56  0.9430
   57  0.8862
   58  0.9748
   59  0.8454
   60  0.9905
   61  0.9792
   62  1.0178
   63  1.0076
   64  1.0393
   65  0.9705
   66  1.0176
   67  0.9243
   68  0.9970
   69  0.9590
   70  0.9703
   71  0.9073
   72  0.9792
   73  0.9626
   74  0.9948
   75  0.9563
   76  1.0293
   77  1.0212
   78  1.0154
   79  0.9771
   80  1.0389
   81  1.0588
   82  1.0269
   83  0.8151
   90  1.0792
   91  1.0112
   92  1.0453
   93  0.9565
   94  1.0458
   95  0.9838
   96  1.0018
   97  0.9756
   98  1.0402
