#
# Data file of the   first-excited state energies(keV)(E2+) and
# parameters "beta" obtained from the  B(E2)up transition values.
# A parameter "beta" corresponds to  deformation parameter "beta2"
# in absolute value and in the lowest order on deformation.
# The data   extracted from data file  "raman_tableI.txt"
# of the paper by S.Raman, C.W.Nestor,Jr, P.Tikkanen
# [Atom.Data Nucl.Data Tabl. 78(2001)1;  Table 1 for even-even nuclei]
# FORMAT (I4,I4,f13.5,f10.4)
#
#  Z   A     E2+        beta
#
   2   4  27420.00000
   2   6   1797.00000
   2   8   3590.00000
   2  10   3240.00000
   4   6   1670.00000
   4   8   3040.00000
   4  10   3368.03000    1.1400
   4  12   2102.00000
   4  14   1590.00000
   6  10   3353.60000     .8300
   6  12   4438.91000     .5820
   6  14   7012.00000     .3600
   6  16   1766.00000
   6  18   1620.00000
   8  14   6590.00000
   8  16   6917.10000     .3640
   8  18   1982.07000     .3550
   8  20   1673.68000     .2610
   8  22   3190.00000     .2080
  10  16   1690.00000
  10  18   1887.30000     .6940
  10  20   1633.67400     .7270
  10  22   1274.54200     .5620
  10  24   1981.60000     .4500
  10  26   2018.20000     .4980
  10  28   1310.00000     .5000
  12  22   1246.30000     .5800
  12  24   1368.67500     .6050
  12  26   1808.73000     .4820
  12  28   1473.40000     .4910
  12  30   1482.20000     .4310
  12  32    885.50000     .4730
  12  34    670.00000
  14  26   1795.90000     .4460
  14  28   1779.03000     .4070
  14  30   2235.33000     .3150
  14  32   1941.50000     .2170
  14  34   3327.50000     .1790
  14  36   1399.00000     .2590
  14  38   1084.00000     .2490
  16  30   2210.60000     .3380
  16  32   2230.30000     .3120
  16  34   2127.56400     .2520
  16  36   3290.90000     .1680
  16  38   1292.00000     .2460
  16  40    900.00000     .2840
  16  42    890.00000     .3000
  16  44   1315.00000     .2540
  18  34   2090.90000     .2380
  18  36   1970.39000     .2560
  18  38   2167.47200     .1630
  18  40   1460.85900     .2510
  18  42   1208.20000     .2750
  18  44   1144.00000     .2400
  18  46   1550.00000     .1750
  20  38   2206.00000     .1250
  20  40   3904.38000     .1230
  20  42   1524.73000     .2470
