#           Level density parameters for the EGSM model
#  Z  A  Sym Io   Bn       Do            dDo           Esh         +da      a       -da   
#                [MeV]    [keV]         [keV]         [MeV]        [1/MeV] [1/MeV] [1/MeV]
#----------------------------------------------------------------------------------------------------
   9  20 F   0.5  6.601   0.16000E+03   0.40000E+02   0.14940E+01  0.1287  1.1115  0.0927 
  11  24 Na  1.5  6.960   0.95000E+02   0.30000E+02   0.54700E+00  0.1614  1.0535  0.1037 
  12  25 Mg  0.0  7.331   0.47000E+03   0.14000E+03  -0.85000E-01  0.1785  1.1102  0.1184 
  12  26 Mg  2.5 11.092   0.43000E+02   0.17000E+02   0.67100E+00  0.3030  1.4354  0.1848 
  12  27 Mg  0.0  6.444   0.26000E+03   0.50000E+02   0.66700E+00  0.1437  1.6061  0.1142 
  13  28 Al  2.5  7.725   0.45000E+02   0.15000E+02  -0.77100E+00  0.1776  1.1963  0.1127 
  14  29 Si  0.0  8.473   0.20000E+03   0.60000E+02  -0.24670E+01  0.1648  1.3582  0.1114 
  14  30 Si  0.5 10.609   0.35000E+03   0.16000E+03  -0.93000E+00  0.2109  0.8848  0.1048 
  15  32 P   0.5  7.935   0.75000E+02   0.20000E+02  -0.15200E+01  0.1207  1.3118  0.0846 
  16  33 S   0.0  8.641   0.15000E+03   0.35000E+02  -0.11680E+01  0.1273  1.4414  0.0935 
  16  34 S   1.5 11.417   0.27000E+02   0.10000E+02  -0.18800E+00  0.2372  1.5398  0.1452 
  16  35 S   0.0  6.985   0.20000E+03   0.70000E+02   0.53400E+00  0.2844  1.5526  0.1793 
  17  36 Cl  1.5  8.579   0.23000E+02   0.60000E+01  -0.48400E+00  0.1232  1.4531  0.0874 
  17  38 Cl  1.5  6.107   0.15000E+02   0.40000E+01   0.19140E+01  0.2269  2.1188  0.1647 
  18  41 Ar  0.0  6.098   0.70200E+02   0.17000E+02   0.40960E+01  0.2741  2.7002  0.2103 
  19  40 K   1.5  7.799   0.15000E+02   0.50000E+01   0.12730E+01  0.2128  1.7020  0.1361 
  19  42 K   1.5  7.533   0.15000E+02   0.50000E+01   0.32240E+01  0.2255  1.7006  0.1424 
  20  41 Ca  0.0  8.362   0.32600E+02   0.43000E+01   0.10270E+01  0.0973  2.2889  0.0824 
  20  43 Ca  0.0  7.932   0.20000E+02   0.50000E+01   0.30350E+01  0.2384  2.7949  0.1792 
  20  44 Ca  3.5 11.132   0.18000E+01   0.30000E+00   0.31340E+01  0.1413  2.7484  0.1158 
  20  45 Ca  0.0  7.415   0.24100E+02   0.32000E+01   0.29300E+01  0.1250  2.8569  0.1065 
  21  46 Sc  3.5  8.761   0.13000E+01   0.10000E+00   0.24170E+01  0.0522  2.5186  0.0461 
  22  47 Ti  0.0  8.878   0.25000E+02   0.44000E+01   0.17320E+01  0.1266  2.2351  0.1003 
  22  48 Ti  2.5 11.626   0.17500E+01   0.25000E+00   0.16040E+01  0.1021  2.5917  0.0855 
  22  49 Ti  0.0  8.142   0.18300E+02   0.29000E+01   0.11220E+01  0.1325  2.6826  0.1091 
  22  50 Ti  3.5 10.939   0.40000E+01   0.80000E+00   0.35800E+00  0.1385  2.1400  0.1062 
  22  51 Ti  0.0  6.372   0.12500E+03   0.70000E+02   0.45200E+00  0.6796  1.8760  0.3062 
  23  51 V   6.0 11.050   0.23000E+01   0.60000E+00   0.21200E+00  0.1535  1.9677  0.1086 
  23  52 V   3.5  7.311   0.41000E+01   0.60000E+00   0.18300E+00  0.1004  2.1714  0.0817 
  24  51 Cr  0.0  9.262   0.13300E+02   0.13000E+01  -0.11800E+00  0.0651  2.5118  0.0571 
  24  53 Cr  0.0  7.939   0.43400E+02   0.43700E+01  -0.29900E+00  0.0689  2.1206  0.0585 
  24  54 Cr  1.5  9.718   0.78000E+01   0.80000E+00   0.46600E+00  0.0761  2.3061  0.0648 
  24  55 Cr  0.0  6.246   0.62000E+02   0.80000E+01   0.11410E+01  0.1297  2.4417  0.1083 
  25  56 Mn  2.5  7.271   0.23000E+01   0.40000E+00   0.10900E+00  0.1337  2.6395  0.1078 
  26  55 Fe  0.0  9.298   0.18000E+02   0.24000E+01  -0.20400E+01  0.0804  2.3323  0.0676 
  26  57 Fe  0.0  7.646   0.25400E+02   0.22000E+01  -0.51400E+00  0.0681  2.5387  0.0595 
  26  58 Fe  0.5 10.044   0.65000E+01   0.10000E+01   0.20200E+00  0.1221  2.7157  0.0995 
  26  59 Fe  0.0  6.580   0.25400E+02   0.49000E+01   0.95000E+00  0.2086  3.0224  0.1659 
  27  60 Co  3.5  7.491   0.12500E+01   0.15000E+00   0.10400E+00  0.0930  2.8268  0.0788 
  28  59 Ni  0.0  8.999   0.13400E+02   0.90000E+00  -0.21720E+01  0.0421  2.5594  0.0379 
  28  60 Ni  1.5 11.388   0.20000E+01   0.70000E+00  -0.14120E+01  0.2610  2.6530  0.1691 
  28  61 Ni  0.0  7.820   0.13800E+02   0.90000E+00  -0.49200E+00  0.0531  2.9077  0.0478 
  28  62 Ni  1.5 10.597   0.21000E+01   0.15000E+00  -0.76000E-01  0.0513  2.8093  0.0451 
  28  63 Ni  0.0  6.837   0.16000E+02   0.30000E+01   0.78300E+00  0.2029  3.2775  0.1623 
  28  65 Ni  0.0  6.098   0.19600E+02   0.30000E+01   0.17360E+01  0.1896  3.6013  0.1576 
  29  64 Cu  1.5  7.916   0.95000E+00   0.90000E-01   0.41500E+00  0.0731  3.1976  0.0635 
  29  66 Cu  1.5  7.065   0.13000E+01   0.11000E+00   0.14600E+01  0.0739  3.3162  0.0646 
  30  65 Zn  0.0  7.979   0.35900E+01   0.16000E+00   0.12690E+01  0.0429  3.9522  0.0397 
  30  67 Zn  0.0  7.052   0.46200E+01   0.55000E+00   0.24340E+01  0.1398  4.3835  0.1215 
  30  68 Zn  2.5 10.198   0.40000E+00   0.60000E-01   0.24770E+01  0.1496  3.8959  0.1240 
  30  69 Zn  0.0  6.482   0.55600E+01   0.43000E+00   0.31040E+01  0.0979  4.7109  0.0882 
  30  71 Zn  0.0  5.834   0.72000E+01   0.80000E+00   0.36230E+01  0.1581  5.0979  0.1388 
  31  70 Ga  1.5  7.655   0.35000E+00   0.60000E-01   0.28400E+01  0.1700  4.0743  0.1381 
  31  72 Ga  1.5  6.521   0.38000E+00   0.60000E-01   0.37890E+01  0.1884  4.8076  0.1574 
