# Normalization factors for the level density paramet er in the EGSM 
# a_exp/a_sys averaged over isotopes of an element, for which a_exp exists
#  Z   factor
#---------------------------------------------------- --------------------
   11   .9994
   12  1.1259
   13   .9993
   14  1.1057
   15  1.1463
   16  1.1001
   17  1.0038
   18   .9731
   19   .9046
   20  1.0424
   21  1.0307
   22  1.0419
   23   .9689
   24  1.0161
   25  1.0534
   26  1.0420
   27  1.0269
   28  1.0296
   29  1.0246
   30   .9928
   31   .9538
   32   .9861
   33   .9992
   34  1.0071
   35  1.0175
   36   .9359
   37   .9115
   38   .9137
   39   .8578
   40   .8672
   41   .9416
   42   .9790
   43  1.0526
   44  1.0619
   45  1.0401
   46  1.0557
   47  1.0439
   48  1.0395
   49   .9711
   50   .9159
   51   .9797
   52  1.0193
   53  1.0159
   54  1.0417
   55   .9962
   56   .9436
   57   .8911
   58   .9687
   59   .8473
   60   .9913
   61  1.0084
   62  1.0298
   63  1.0181
   64  1.0371
   65   .9958
   66  1.0318
   67   .9527
   68  1.0151
   69   .9703
   70   .9743
   71   .9625
   72   .9975
   73   .9392
   74   .9984
   75   .9747
   76  1.0306
   77  1.0504
   78  1.0144
   79   .9732
   80  1.0165
   81  1.0307
   82  1.0768
   83   .7920
   90  1.0907
   91  1.0122
   92  1.0592
   93   .9675
   94  1.0497
   95   .9874
   96   .9955
   97   .9744
   98   .9994
